City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,9.73,91,100,1.53,ZA,1691264117
1,nchelenge,-9.3451,28.734,20.31,49,0,2.32,ZM,1691264118
2,hithadhoo,-0.6,73.0833,27.14,77,100,3.12,MV,1691264119
3,namibe,-15.1961,12.1522,18.4,86,0,1.83,AO,1691264119
4,sandnessjoen,66.0217,12.6316,12.29,72,88,1.17,NO,1691264120
5,la sarre,48.8002,-79.1996,23.83,29,5,3.64,CA,1691264120
6,wainwright,52.839,-110.8572,23.82,37,0,5.27,CA,1691264121
7,cesme,38.3228,26.3064,28.84,45,0,2.06,TR,1691264121
8,vorgashor,67.5833,63.95,17.65,53,0,2.83,RU,1691264122
9,puerto natales,-51.7236,-72.4875,5.22,88,100,10.06,CL,1691264122
10,ilulissat,69.2167,-51.1,10.01,57,20,2.06,GL,1691264123
11,tazacorte,28.629,-17.9293,23.97,80,20,8.23,ES,1691264123
12,invercargill,-46.4,168.35,6.68,86,100,1.79,NZ,1691263845
13,lompoc,34.6391,-120.4579,27.69,94,100,7.2,US,1691263878
14,colonia,50.9333,6.95,17.36,86,20,2.06,DE,1691264039
15,ola,59.5833,151.2833,12.38,63,33,3.74,RU,1691264125
16,swift current,50.2834,-107.8014,25.45,31,20,4.63,CA,1691263953
17,port-aux-francais,-49.35,70.2167,2.43,71,97,13.5,TF,1691264126
18,punta arenas,-53.15,-70.9167,4.83,82,100,13.21,CL,1691264126
19,badger,64.8,-147.5333,23.41,56,100,0.0,US,1691264127
20,iqaluit,63.7506,-68.5145,12.85,76,20,2.24,CA,1691264127
21,waitangi,-43.9535,-176.5597,6.57,76,97,3.13,NZ,1691264128
22,balykshi,47.0667,51.8667,30.0,37,0,3.0,KZ,1691264128
23,blackmans bay,-43.0167,147.3167,8.62,86,96,2.64,AU,1691264129
24,margaret river,-33.95,115.0667,8.55,80,98,1.35,AU,1691264129
25,vikulovo,56.8167,70.6107,17.34,92,100,2.54,RU,1691264130
26,west island,-12.1568,96.8225,24.99,88,75,7.72,CC,1691264130
27,ushuaia,-54.8,-68.3,2.81,87,100,2.06,AR,1691264072
28,talnakh,69.4865,88.3972,13.45,52,1,0.38,RU,1691264131
29,keflavik,64.0049,-22.5624,12.95,100,100,5.66,IS,1691264132
30,bereznik,62.8551,42.7072,15.53,93,0,2.44,RU,1691264132
31,dire,12.2833,-10.9667,25.93,89,100,1.69,ML,1691264133
32,longyearbyen,78.2186,15.6401,9.91,93,75,4.63,SJ,1691264133
33,thompson,55.7435,-97.8558,21.09,68,75,3.09,CA,1691263930
34,karystos,38.0133,24.4161,29.63,52,22,0.89,GR,1691264134
35,pitimbu,-7.4706,-34.8086,28.33,79,7,5.46,BR,1691264135
